Sub-region,Region,Immigrants,Emigrants,Net-migration rate (%)
Red River Delta,North,257166,406099,-10.06
Northeast,North,131575,250556,-10.96
North West,North,25244,28201,-1.33
Total,North,413985,684856,-24.65060914
North Central Coast,Central,63591,333475,-26.97
South Central Coast,Central,111474,187826,-11.7
Central Highlands,Central,248471,50004,64.81
Total,Central,423536,571305,-14.85352936
Southeast,South,921603,320705,47.27
Mekong River Delta,South,242280,422369,-11.16
Total,South,1163883,743074,22.06704189